    INFO: 2024-08-10 13:08:10,409:               log.py:   20: Logging to /home/haruhiko/Documents/JNet/mdpdf.log
   DEBUG: 2024-08-10 13:08:10,547:      pdf_renderer.py:  470: printSegment: z|1.2||
   DEBUG: 2024-08-10 13:08:10,547:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,547:      pdf_renderer.py:  470: printSegment: |sig
   DEBUG: 2024-08-10 13:08:10,548:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,548:      pdf_renderer.py:  470: printSegment: z|0.3||
   DEBUG: 2024-08-10 13:08:10,548:      pdf_renderer.py:  470: printSegment: |blur
   DEBUG: 2024-08-10 13:08:10,549:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,549:      pdf_renderer.py:  470: printSegment: mode|gibsonlanni|
   DEBUG: 2024-08-10 13:08:10,549:      pdf_renderer.py:  470: printSegment: gaussian
   DEBUG: 2024-08-10 13:08:10,550:      pdf_renderer.py:  470: printSegment:  or 
   DEBUG: 2024-08-10 13:08:10,551:      pdf_renderer.py:  470: printSegment: gibsonlanni
   DEBUG: 2024-08-10 13:08:10,551:      pdf_renderer.py:  470: printSegment: |
   DEBUG: 2024-08-10 13:08:10,552:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,552:      pdf_renderer.py:  470: printSegment: |size
   DEBUG: 2024-08-10 13:08:10,552:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,553:      pdf_renderer.py:  470: printSegment: x|51||
   DEBUG: 2024-08-10 13:08:10,553:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,553:      pdf_renderer.py:  470: printSegment: |size
   DEBUG: 2024-08-10 13:08:10,554:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,554:      pdf_renderer.py:  470: printSegment: y|51||
   DEBUG: 2024-08-10 13:08:10,554:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,555:      pdf_renderer.py:  470: printSegment: |size
   DEBUG: 2024-08-10 13:08:10,555:      pdf_renderer.py:  470: printSegment: _
   DEBUG: 2024-08-10 13:08:10,555:      pdf_renderer.py:  470: printSegment: z|201||
   DEBUG: 2024-08-10 13:08:10,556:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,556:      pdf_renderer.py:  470: printSegment: |NA|0.7||
   DEBUG: 2024-08-10 13:08:10,556:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,557:      pdf_renderer.py:  470: printSegment: |wavelength|0.9|microns|
   DEBUG: 2024-08-10 13:08:10,557:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,558:      pdf_renderer.py:  470: printSegment: |M|20|magnification|
   DEBUG: 2024-08-10 13:08:10,558:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,558:      pdf_renderer.py:  470: printSegment: |ns|1.4|specimen refractive index (RI)|
   DEBUG: 2024-08-10 13:08:10,559:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,559:      pdf_renderer.py:  470: printSegment: |ng0|1.5|coverslip RI design
   DEBUG: 2024-08-10 13:08:10,560:      pdf_renderer.py:  470: printSegment: value|
   DEBUG: 2024-08-10 13:08:10,560:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,561:      pdf_renderer.py:  470: printSegment: |ng|1.5|coverslip RI experimental value|
   DEBUG: 2024-08-10 13:08:10,561:      pdf_renderer.py:  470: printSegment:  
   DEBUG: 2024-08-10 13:08:10,561:      pdf_renderer.py:  470: printSegment: |ni0|1.33|immersion medium RI design value|
   DEBUG: 2024-08-10 13:08:10,562:      pdf_renderer.py:  470: printSegment:  
