Method,Volume_Mean,Volume_Std,Sphericity_Mean,Sphericity_Std,Z/XY_Ratio_Mean,Z/XY_Ratio_Std,Total_Loss_Mean,Total_Loss_Std
tenet,4.003383333333335,0.5314770788540392,0.9083190142681922,0.02759334825710575,1.942392191415764,0.2586160035209351,1.146329366941378,0.25233848910270296
without ewc loss,3.0845375000000015,0.49125675901838745,0.8717219540364259,0.03871099457935406,2.332664084931999,0.9967323023091498,1.7242481972915613,1.061411123661889
without psf loss,4.1550166666666675,0.35650095361801676,0.8851709050726814,0.04307152484965185,2.649056624059565,1.2840230266391983,1.8320729652252405,1.3164685822982427
without vq loss,4.236279166666667,0.6216874873775461,0.8115514136646141,0.11385841610165881,3.2161069347479314,1.2311808848128651,2.535766212907217,1.3358442461337134
