Method,Sample,Volume,Sphericity,Z/XY Ratio,Total Loss
tenet,0,3.6520000000000006,0.9518555529855236,1.6544276037868755,0.8303485017208646
tenet,1,3.8457500000000016,0.9432640162015055,1.7651231388672026,0.9033613915933301
tenet,2,4.3671250000000015,0.9301704723903897,1.8652417710012776,0.978091360707855
tenet,3,4.485875000000002,0.9086376000929686,2.1886079591569487,1.3513520165753252
tenet,4,4.406625000000002,0.9133546405111903,2.1455559391113193,1.284655322961247
tenet,5,4.241125000000003,0.8912668273365716,2.079285908657162,1.200945997967355
tenet,6,3.4288750000000014,0.9269049038791631,1.7046587587071296,0.9588202508155468
tenet,7,3.56925,0.9153833711252168,1.9525686717738786,1.1847253054253517
tenet,8,3.3626250000000013,0.9422263636821018,1.619101354739944,0.8737641718555491
tenet,9,5.165875000000002,0.8804686015475731,2.2358398817618714,1.5891603893616597
tenet,10,4.486625,0.9024004620014886,1.9826629749627422,1.1518232963383732
tenet,11,5.119375000000003,0.8802403777634458,2.1891988334918926,1.5316417611977573
tenet,12,3.8728749999999996,0.9041958995257833,2.038440958629657,1.209268942552644
tenet,13,3.6940000000000017,0.923110246444814,1.9129765922627497,1.107611748254047
tenet,14,3.5745000000000013,0.9164125093958486,2.029040783641416,1.2589143979618318
tenet,15,3.6887500000000006,0.9403247337761127,2.137897773311447,1.316572323031871
tenet,16,4.2223749999999995,0.9021797798787851,2.399977951760131,1.506246941883734
tenet,17,4.037000000000001,0.8835282886348913,2.3015646510707293,1.4538615355908413
tenet,18,3.5072500000000018,0.9233016855981435,1.7664896751053467,1.0055357325212941
tenet,19,4.311624999999999,0.9120115888252612,1.772453850905516,0.8902070101098701
tenet,20,3.40525,0.9243611751366493,1.6926624185315466,0.955010104154391
tenet,21,3.9182500000000013,0.9543236773215753,1.554367999931568,0.6642310911793738
tenet,22,4.434499999999999,0.9189600252362374,2.0061698085628192,1.1463213190323374
tenet,23,4.208125000000003,0.9398817200371645,1.7123531012470745,0.7775167597625735
tenet,24,4.448750000000001,0.8936813458430093,2.1204601562379586,1.2892937375504308
tenet,25,4.508000000000001,0.878710580738214,2.3380653790749375,1.5360206688884315
tenet,26,4.508000000000001,0.878710580738214,2.3380653790749375,1.5360206688884315
tenet,27,3.171000000000001,0.8620333063618209,1.5952616199406602,0.9758841530820633
tenet,28,3.1718750000000004,0.8492995037840059,1.6682728684947818,1.0614202240372625
tenet,29,3.2882499999999997,0.8583705912520933,1.5049719786714015,0.8612538832397049
without ewc loss,0,2.5583750000000007,0.8855837146551314,1.4305505553585616,0.9339386582338813
without ewc loss,1,2.8132500000000014,0.8798211329005841,1.6138818505423642,1.0621595951196876
without ewc loss,2,3.0726250000000013,0.86534206027365,2.5395995171647674,1.9404086391218311
without ewc loss,3,2.5593750000000006,0.8815349872231397,2.168040167692879,1.6752381635124907
without ewc loss,4,2.493750000000001,0.8895944761465894,2.1272962693689403,1.6421082895204162
without ewc loss,5,2.3069999999999995,0.8543097119521578,2.3064416509957377,1.901140775919625
without ewc loss,6,3.1906250000000003,0.8385276179815133,1.5246922131020453,0.9241333078026432
without ewc loss,7,2.9112500000000017,0.8255154904378855,1.4373142356122677,0.9164918428576873
without ewc loss,8,3.0693750000000013,0.8325071395320853,2.415982328507416,1.8504025832910695
without ewc loss,9,3.644625,0.9453192970990574,1.6262619905939772,0.8104805487612203
without ewc loss,10,3.066375000000002,0.9569654697518061,1.4343915148786257,0.7450699429056584
without ewc loss,11,3.6853749999999996,0.9370785059096765,1.634423959004956,0.8171508029878043
without ewc loss,12,2.7312500000000006,0.8962260806114152,1.5134658725678272,0.9649230974257217
without ewc loss,13,2.577750000000001,0.8850600476886574,1.51612016376236,1.0154045154049658
without ewc loss,14,2.4547500000000015,0.8838024207517818,1.52457836140637,1.0544969819729542
without ewc loss,15,3.1362500000000004,0.8619745391372027,2.386704738676791,1.7756855374903882
without ewc loss,16,3.438,0.8542208737744372,2.4184859566100245,1.7431521141229052
without ewc loss,17,3.379000000000003,0.8410880791963395,2.395993167902277,1.7478833547675559
without ewc loss,18,2.270500000000001,0.8245865886806045,4.634405761912386,4.267545468908876
without ewc loss,19,2.9200000000000017,0.7916628741860829,4.437225536843066,3.948165958572913
without ewc loss,20,2.1860000000000017,0.8053710088972461,4.713337251925112,4.3858740529156135
without ewc loss,21,3.5192500000000004,0.9078633916352943,2.047871299616284,1.2994896371426807
without ewc loss,22,3.8761250000000023,0.8945077318532604,2.247269711765606,1.4270096512760904
without ewc loss,23,3.643500000000001,0.8962355653285016,2.2174428959739183,1.4510138747103796
without ewc loss,24,3.467625000000001,0.8720619001610577,2.658321373750838,1.958071033178985
without ewc loss,25,3.243125,0.8326441978000292,4.064303970415227,3.4570896746930577
without ewc loss,26,3.243125,0.8326441978000292,4.064303970415227,3.4570896746930577
without ewc loss,27,3.5789999999999997,0.8949528037133915,1.5881655684345284,0.8384241332427516
without ewc loss,28,3.7526250000000023,0.8877184439931335,1.6990011148683448,0.9150264014699088
without ewc loss,29,3.746250000000001,0.8969382720210397,1.5940495782912678,0.8023776067240134
without psf loss,0,3.717625000000001,0.8955052185922904,2.221055590612275,1.437653309684183
without psf loss,1,3.915000000000002,0.8988158935134136,2.2975906631909107,1.4637377503319031
without psf loss,2,4.340375000000001,0.8864086320426473,2.3191535145063717,1.4693761220147157
without psf loss,3,4.135625000000002,0.9015263584116338,1.917305028832737,1.0280487922266914
without psf loss,4,4.154125000000002,0.9050525694579108,1.906366477576187,1.009165591901414
