Method,Volume_Mean,Volume_Std,Sphericity_Mean,Sphericity_Std,Z/XY_Ratio_Mean,Z/XY_Ratio_Std,Total_Loss_Mean,Total_Loss_Std
tenet,4.003383333333335,0.5314770788540392,0.9083190142681922,0.02759334825710575,1.942392191415764,0.2586160035209351,1.146329366941378,0.25233848910270296
x2 ewc loss,4.009600000000001,0.5069194024941241,0.8730649355840103,0.07263567316638841,2.545815198392272,0.9644066638431896,1.7812627220073696,1.0322867629759165
x2 psf loss,3.995733333333335,0.43470042693854805,0.8617470291098545,0.04650174101872534,2.736424647112159,1.040526919850672,1.9709219456832217,1.0437327647941494
x2 vq loss,4.0061,0.28623061324451854,0.8985138933997702,0.03041406109602033,2.3925168459017336,0.7517035148283963,1.5622936936849912,0.7704669899513119
x1_mrf,3.8547416666666674,0.37837641357148877,0.9026764902230923,0.055245804476628114,2.176560616401701,0.7474114469841265,1.3699572891433407,0.8113295908849512
