training loss,validatation loss
0.32029965713620184,0.2646574447534206
0.25989620432257654,0.25512771390799854
0.2480146159231663,0.24130398608451534
0.45165020242333415,0.22079882414344448
0.20786626540124417,0.19411674602361112
0.17903524272143842,0.18789037292686311
0.25915520276874304,0.12289925922254227
0.23746533527970315,0.07311947005369052
0.30145353958941995,0.010444794701475597
0.3302863023520331,-0.059967557835620355
0.04396810249600094,-0.08728772773465418
-0.08584753030561842,0.2498752727981055
0.4279625690146349,-0.2848975604036239
-0.06834941383451223,-0.35549081129865934
0.09629037916834932,-0.4674896999858893
-0.17061969474656508,-0.5227679558622185
0.3143283061799593,1.1688064255227806
-0.5417526410333813,-0.7015802142821481
-0.7340011689066887,-0.7709018503403056
-0.6533652730844914,-0.8390664264465159
-0.8491909402608872,-0.883878420048859
-0.9045548588037491,-0.9477565432134725
-0.7741915736533701,-0.9975311651483935
-0.9955464953184128,-1.0268175044620544
21.429871638305485,-1.0483277828425344
-1.0506484824419022,-1.0290874623046464
-0.9280595959722996,-0.7791235495882575
-0.762097405642271,-0.9444477831071708
-1.0480654767155648,-1.047080840083072
-1.0533602872490884,-1.047010725416476
-1.0566768118739127,-1.0714424955745927
-1.0618285089731216,-1.0449216333392541
-1.0669490936398507,-1.0682381339283893
-1.0697429299354553,-1.063856561286957
-1.0777092105150223,-1.079019820416579
-1.0817117762565613,-1.0423064440488816
-1.0879930412769319,-1.068106501281727
-1.0931662106513977,-1.0528606784675503
-1.09488083422184,-1.0709217701718443
-1.1046127742528915,-1.0793571280810283
-1.1070318132638932,-1.0804193345684325
-1.1075002825260163,-1.0881370861723554
-1.1080407637357712,-1.0807262884743978
-1.108248352408409,-1.0810691516060615
-1.1081882679462434,-1.079460537887644
-1.1111452633142471,-1.0866865739692002
-1.112213848233223,-1.0901040752913105
-1.110993344783783,-1.0960655782197137
-1.1114113509655,-1.088258885787218
-1.114120715856552,-1.088835488431505
-1.1131476247310639,-1.0902528575941688
-1.1143885946273804,-1.0938277501962148
-1.113656467795372,-1.0885844097210793
-1.1159179800748824,-1.0883971432165709
-1.1140378445386887,-1.0907779602363008
-1.1129551619291305,-1.0912956753920298
-1.1150954616069795,-1.0908097180508776
-1.115349715948105,-1.0943364194041352
-1.1155537837743759,-1.093266286153812
-1.1162206280231475,-1.0913307874900056
-1.1146117389202117,-1.0932297068327899
-1.1148379969596862,-1.0954144878778607
-1.1139355963468551,-1.0887594773317688
-1.1140194046497345,-1.0905754880426684
-1.1152536481618882,-1.0910667664429639
-1.1166664403676987,-1.0960718119109516
-1.1147685927152633,-1.0934912092605373
-1.1157633256912232,-1.0923456469812662
-1.1153001254796981,-1.0888408908009297
-1.1151152539253235,-1.0892304455250268
-1.1157068395614624,-1.0927118319727014
-1.1153643786907197,-1.0922496551298537
-1.1146216744184494,-1.088618412183132
-1.1146664023399353,-1.090976124588633
-1.1159027063846587,-1.0948154946469004
-1.1142619669437408,-1.089385973312892
-1.1152668541669846,-1.09178239791363
-1.115165457725525,-1.0910244544968009
-1.1139723587036132,-1.0900061028194614
-1.1150683224201203,-1.0902551672945264
-1.1178726941347121,-1.095414389410871
-1.115047229528427,-1.092098746271222
-1.117754277586937,-1.091060241908417
-1.1161718553304671,-1.090819781436585
-1.1150537383556367,-1.0945998733019224
-1.1167104977369309,-1.097211297901231
-1.116002846956253,-1.0958216333703603
-1.1153316009044647,-1.0918055032234406
-1.1146358746290206,-1.0934308335272362
-1.1145132714509964,-1.09242053120106
-1.1142880737781524,-1.094342948522535
-1.1171859091520309,-1.0919825824152212
-1.1145741361379624,-1.0904783975653118
-1.1163192027807236,-1.094332236199989
-1.114945501089096,-1.0918713026854676
-1.115505400300026,-1.0903401981748175
-1.1154271560907363,-1.093175890375278
-1.1146290630102158,-1.0943281822343125
-1.1159483391046523,-1.0945719014416682
-1.1132665890455247,-1.0891080992732896
-1.1146337705850602,-1.091081040762947
-1.1143612957000733,-1.0890601379272993
-1.1167167025804519,-1.0900347079965287
-1.114432648420334,-1.0970155460177922
-1.1163979417085648,-1.0887917763000587
-1.114635996222496,-1.0865790399955586
-1.1159728753566742,-1.0945997666509357
-1.1147046053409577,-1.0931827945052646
-1.1158920907974244,-1.093045418782276
-1.1154410064220428,-1.087416887204745
-1.115442464351654,-1.089810574200237
-1.1148757338523865,-1.0923614827479469
-1.1160758650302887,-1.0945228154072537
-1.1159842604398726,-1.0923493708629395
-1.1134627735614777,-1.094352524340502
-1.116604243516922,-1.0957744013663615
-1.1163043117523193,-1.0922946473699995
-1.1160161930322647,-1.0960396346548804
-1.115306903719902,-1.090393038187176
-1.1139497202634812,-1.0936540358146885
-1.1161968249082566,-1.0884950384119292
-1.115914136171341,-1.0901138903718675
-1.1151844531297683,-1.0956451783160446
-1.1139303869009018,-1.090858321043197
-1.1145905536413192,-1.0878114182822174
-1.1155868011713028,-1.0926247685973067
-1.1153621113300323,-1.0910747919697315
-1.1156638705730437,-1.0927023385156645
-1.116303728222847,-1.0950537666125455
-1.1151292872428895,-1.0960288184229285
-1.1150398993492125,-1.0945383850252255
-1.1147372382879257,-1.0930852196062915
-1.1156059420108795,-1.093897829405614
-1.1149281018972397,-1.0918286137894029
-1.114030573964119,-1.09125021234795
-1.1145340603590013,-1.0925339498033282
-1.1152509433031081,-1.091977868421236
-1.1148919838666915,-1.0910237423086073
-1.116995365023613,-1.0893820177734597
-1.1154967564344407,-1.0933476448553847
-1.115492607355118,-1.0905254454817623
-1.1162935733795165,-1.0884642688761232
-1.1166755890846252,-1.0950782726198667
-1.1163546639680861,-1.0949353664938826
-1.1149430894851684,-1.0931665441516087
-1.1156149017810821,-1.0878843373910059
-1.1148967391252518,-1.0902209625783144
-1.1162013137340545,-1.0931136537285056
-1.1154340434074401,-1.091602379240794
-1.1144040256738663,-1.0887420523096807
-1.115427416563034,-1.0904077963496093
-1.1145782321691513,-1.0951586715469603
-1.1149780929088593,-1.0931866862782045
-1.1152694076299667,-1.085398619272746
-1.1162010824680328,-1.0927577192545868
-1.1149540793895723,-1.0893665288662304
-1.1162895166873932,-1.0923138942802324
-1.1143565726280213,-1.0936395951430313
-1.1153500562906264,-1.0906172204908215
-1.1140117728710175,-1.09400831371604
-1.1145692729949952,-1.0907862198335352
-1.115140091776848,-1.0947941425692989
-1.1153707265853883,-1.0940675504913089
-1.1144902682304383,-1.0905156554741553
-1.116262713074684,-1.092081742285518
-1.11396950006485,-1.0883812266867607
-1.1171577262878418,-1.0915024846210144
-1.1145497995615006,-1.0937460897315758
-1.1155007857084274,-1.0915948532841866
-1.1141571539640427,-1.0875960263394517
-1.1176761919260025,-1.0925731043622364
-1.117812551856041,-1.096628721622983
-1.115996071100235,-1.088329963933211
-1.1166257798671722,-1.0915362910862314
-1.1151915025711059,-1.0906683614186476
-1.1167990154027938,-1.0954039692063815
-1.1178662228584288,-1.093382951055537
-1.114871353507042,-1.0931417974061333
-1.1170689111948013,-1.0918580952216872
-1.1168325108289718,-1.088667766979779
-1.1166317975521087,-1.0913940245955018
-1.1153831613063812,-1.09314270990144
-1.11618030667305,-1.0906449290720048
-1.114498845934868,-1.095372790491092
-1.1168413603305816,-1.0894392414105822
-1.1155611884593963,-1.0929181413986953
-1.1152608054876327,-1.0888466693082592
-1.1162161833047868,-1.0900120707112364
-1.1152175563573836,-1.0935474322817753
-1.115836872458458,-1.092632589119603
-1.1142960864305496,-1.0909961201541591
-1.1155956888198852,-1.0945670895278454
-1.1142779821157456,-1.0902355518046534
-1.1170208644866944,-1.0892266231618124
-1.1144946724176408,-1.0921619953936896
-1.1149652391672134,-1.0900968587957323
-1.1150444132089614,-1.0919799714029068
-1.1140917700529098,-1.0934431417786983
-1.1152463167905808,-1.087320668422035
-1.1134850919246673,-1.0902218758594244
