training loss,validatation loss
0.6708148565888404,0.7868771612644195
0.635948330461979,0.7614838927984238
0.6352832153439522,0.7829941123723984
0.6308668121695519,0.7760525822639466
0.6304767706990242,0.8023552805185318
0.626320615708828,0.8129926353693009
0.628869682252407,0.7810150682926178
0.626979466676712,0.767067602276802
0.6273652005195618,0.7607945531606675
0.6261501738429069,0.7771753519773483
0.6252360251545906,0.8070566952228546
0.6252737066149712,0.7723307460546494
0.6254121807217597,0.7774863719940186
0.6260232415795326,0.8070976853370666
0.6266707366704941,0.7849001169204712
0.6239445459842682,0.771396690607071
0.6240338465571403,0.7828130960464478
0.6212785103917122,0.7771361082792282
0.621591317653656,0.7742934882640838
0.6231291252374649,0.7723640739917755
0.6214835011959076,0.7568142026662826
0.6234589579701424,0.7511549562215805
0.6231336838006973,0.7442957311868668
0.6238533234596253,0.7350338518619537
0.622544304728508,0.7366249799728394
0.6232466530799866,0.7350933820009231
0.6228153133392333,0.7370981782674789
0.6253292188048363,0.7209594875574112
0.623507285118103,0.7250343471765518
0.6245917627215385,0.7203798651695251
0.6247791546583176,0.7249480783939362
0.6240611761808396,0.7223176032304763
0.6232919552922249,0.7230544477701187
0.6238041725754738,0.7246896952390671
0.625865738093853,0.7235712587833405
0.6251613321900368,0.720487841963768
0.6259121292829514,0.7246160805225372
0.6251300904154777,0.7242359578609466
0.6265463203191757,0.7227887570858001
0.6272684693336487,0.7262411117553711
0.6252961730957032,0.7237121433019638
0.6281593865156174,0.7256652325391769
0.6284612813591957,0.7232999324798584
0.6262007758021355,0.7280556410551071
0.6272954732179642,0.7260896801948548
0.6285895562171936,0.7269301176071167
0.6294423243403435,0.7276301920413971
0.6304836350679398,0.7265895992517472
0.6300490441918373,0.729855689406395
0.6291189214587212,0.730826461315155
0.6306719812750816,0.7254852175712585
0.6306138777732849,0.7227931320667267
0.6305822286009789,0.7219827711582184
0.6332410642504692,0.7299367368221283
0.6327216529846191,0.7255859613418579
0.6326727339625359,0.7277227520942688
0.6330714881420135,0.7311430662870407
0.6321085339784622,0.7344470262527466
0.6332228729128837,0.7370831727981567
0.6334205347299576,0.728560408949852
0.6329719337821007,0.7374896973371505
0.6333408516645431,0.7308717995882035
0.6343175882101059,0.7347795188426971
0.6351170992851257,0.7361030071973801
0.6334203472733497,0.7364587604999542
0.6368253025412559,0.7390182703733444
0.6348211160302162,0.7356267064809799
0.6361033588647842,0.7327704399824142
0.6364573892951012,0.7415162593126297
0.6339866071939468,0.7344319373369217
0.6353890293836594,0.7332348316907883
0.6361551091074944,0.7357683300971984
