training loss,validatation loss
-2.2276067101955412,-2.544818582595326
-2.57495233297348,-2.5749539667449426
-2.534725070595741,-2.492985962238163
-2.0396052977535875,-2.572077476559207
-2.4332285833358767,-2.4688752209302036
-2.457901717424393,-2.531991724437103
-1.7412479079328478,-2.5545593136223035
-2.237248069345951,-2.3350634332513436
-2.249363139178604,-2.411684482265264
-1.3044223602116107,-2.182706612534821
-2.0435098063061012,-1.7674811507342383
-2.435581354498863,-1.8791564900428057
-2.2392267376184463,-1.6315870126709342
-1.87494026619941,-1.6082317238207906
-2.173920199871063,-1.7785271338187159
-2.268034489750862,-2.0280260347295553
-2.287682155072689,-0.8236250845249742
-2.0883744469285013,-1.784285993105732
-2.2758972775936126,-1.6006698886398225
-2.2581334286928176,-2.2347258095396683
-2.2687787932157515,-2.206355523550883
-2.232439366579056,-1.8518770105671138
-2.265657940506935,-2.184129795082845
-2.206566691547632,-1.1378556104842574
-2.176974663734436,-2.1480457265861332
-1.5927654096484185,-1.1680238150060176
-1.9344203108549118,-2.2799073956673963
-2.2818177750706674,-2.0879913789685816
-2.6091064965724944,-2.581093035452068
-2.6323026776313783,-2.5602316501550377
-2.6161087882518768,-2.479078234732151
-2.625333792567253,-2.519306742120534
-2.626734247207642,-2.4876018977258356
-2.619948280453682,-2.493406635290012
-2.643567361831665,-2.540995605569333
-2.6263294577598573,-2.4764447054360064
-2.6381253528594972,-2.5388571941060945
-2.6312670457363128,-2.5635436965618283
-2.6270218086242676,-2.538468206766993
-2.6367686945199966,-2.5817653864622114
-2.6373728477954863,-2.5459873681189493
-2.636562767624855,-2.5462525859009473
-2.644559386968613,-2.4917587887030095
-2.647388466000557,-2.52814642325975
-2.6490426343679427,-2.5566143422853203
-2.6359214073419572,-2.563546950928867
-2.630615593791008,-2.581893955823034
-2.6495315790176392,-2.5449109386187048
-2.6541671067476273,-2.5084654602222143
-2.6396061104536055,-2.532668118271977
-2.6489240288734437,-2.5749552556546407
-2.630413526892662,-2.582784188957885
-2.6480350995063784,-2.525913349352777
-2.6394444793462752,-2.5171101191081107
-2.644606873989105,-2.5544442384503783
-2.6697085797786713,-2.5421466526342558
-2.640622705221176,-2.5362337101250887
-2.633005349934101,-2.5972236529923975
-2.648282041549683,-2.569091993197799
-2.6437476217746734,-2.5543081499869005
-2.651925585269928,-2.582175836712122
-2.6519094097614286,-2.5576980970799923
-2.6641967558860777,-2.5736767366994173
-2.65826098382473,-2.540959500335157
-2.6549810099601747,-2.5130318596493453
-2.6442196393013,-2.575952319195494
-2.6514300471544265,-2.5516949584707618
-2.647056239247322,-2.5758611034601926
-2.6539093834161758,-2.5218822363531217
-2.6473327922821044,-2.4884768977761267
-2.6467237079143526,-2.5633983434177936
-2.633420161604881,-2.5895495232194663
-2.638938218355179,-2.5160139887593687
-2.6462838846445083,-2.5799773070961236
-2.6349241453409196,-2.5793719682842493
-2.6679038989543913,-2.538612945890054
-2.644743191599846,-2.555733753135428
-2.6486763381958007,-2.5792419409845024
-2.6584570890665056,-2.5347495457623155
-2.662276128530502,-2.5409619552548977
-2.6201330035924912,-2.5270657451823353
-2.6539200884103775,-2.56992620434612
-2.63160079061985,-2.5704947018995883
-2.6519370138645173,-2.563229501247406
-2.659768009185791,-2.535753348795697
-2.630680366754532,-2.592834618501365
-2.651044968366623,-2.5841182931791993
-2.653716024160385,-2.5471530769951642
-2.6557912540435793,-2.5717966786585746
-2.657275675535202,-2.5717884533107283
-2.6504537230730056,-2.571533840941265
-2.6423223388195036,-2.5807585692964494
-2.6498556679487226,-2.593318401230499
-2.6257548654079437,-2.564272120920941
-2.6518095737695693,-2.5114333694800735
-2.63948446393013,-2.5391975606791677
-2.6320239341259004,-2.562771164509468
-2.6532776242494585,-2.5631526992190627
-2.6548366391658784,-2.578864473942667
-2.6653320455551146,-2.5667557787150144
-2.6535014218091963,-2.5366604272276163
-2.65456117272377,-2.5120473948307334
-2.642777687907219,-2.510130992997438
-2.6527305364608766,-2.588348039891571
-2.640885261297226,-2.491732901777141
-2.6505140864849093,-2.4681941166752948
-2.649020562171936,-2.573388755414635
-2.6535636413097383,-2.5765799490734933
-2.654348767399788,-2.5534431248437612
-2.6434921437501906,-2.5223560316488145
-2.6446053367853164,-2.5535579802002757
-2.6496928572654723,-2.5618299098918214
-2.646780444383621,-2.57038567350246
-2.6314031755924225,-2.5630832577124236
-2.668021740913391,-2.5534262827131897
-2.6410338938236237,-2.580026949988678
-2.6407490259408952,-2.5821833608672025
-2.6376739853620528,-2.5566083706915377
-2.6487844133377076,-2.5831530104391276
-2.659671007990837,-2.55166394058615
-2.6342976301908494,-2.572956046368927
-2.6425902360677718,-2.4777698167599738
-2.6551830232143403,-2.5644943507388236
-2.6669424176216125,-2.5506120546720923
-2.6508234798908235,-2.474963296810165
-2.647473977804184,-2.5452300505246965
-2.650419244766235,-2.5754409951157866
-2.6539004373550417,-2.597383905062452
-2.644357591867447,-2.597437153849751
-2.6434719306230545,-2.5577028526924552
-2.6522361397743226,-2.578143128287047
-2.650694223642349,-2.5766541896853594
-2.648819934129715,-2.5942592488834633
-2.649153879880905,-2.5671592937316747
-2.6492274659872055,-2.5745085686910896
-2.652209495306015,-2.5727895941119643
-2.6435666167736054,-2.5665375157725068
-2.648730364441872,-2.581986759416759
-2.6413215202093125,-2.546603223239072
-2.6439476788043974,-2.571837496710941
-2.638438980579376,-2.5095188559032975
-2.6485513216257095,-2.567454432602972
-2.6327281814813612,-2.572399374470115
-2.640260933339596,-2.560878752567805
-2.6555450451374054,-2.5843788800295444
-2.6410293579101562,-2.558425663691014
-2.6541763526201247,-2.5032195506617425
-2.648199908733368,-2.5376827196683736
-2.6393362510204317,-2.556235455162823
-2.658994129896164,-2.501919557293877
-2.650046566724777,-2.5416515632066874
-2.647011914253235,-2.556085132411681
-2.65209228515625,-2.531458869995549
-2.6482532489299775,-2.479754678020254
-2.6395920860767363,-2.5288045916240662
-2.6421889984607696,-2.470657786400989
-2.6308596354722975,-2.545268286764622
-2.650988033413887,-2.5798512084409593
-2.642497211098671,-2.5495414780220016
-2.6636849522590635,-2.594321530871093
-2.6558252584934237,-2.561361468071118
-2.6356324690580366,-2.562454227078706
-2.6526795905828475,-2.569005892192945
