, ,Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),ID,FRAME,mg_volume,mask_volume
1749,1750,1749,obj1750-val1750,1750,0,191.89,268.687,80.156,191.89,268.687,80.156,183,260,71,200,275,88,5184,0.289,1497,1497,1288,1288,838.56,0.119,0.491,0.43,0.755,0.119,0.491,0.939,10.259,1.36,1.32,1853.323,0.808,2.975,10.16,7.001,1.601,MD495,11,0.0,22235.0
1816,1817,1816,obj1817-val1817,1817,0,253.63,331.193,94.231,253.63,331.193,94.231,237,321,75,276,342,118,38720,0.142,5494,5494,3788,3788,2645.348,0.063,0.397,0.184,0.569,0.063,0.397,0.938,22.769,1.757,1.848,8672.915,0.633,3.832,25.105,13.139,4.704,MD495,11,0.0,53414.0
2306,2307,2306,obj2307-val2307,2307,0,1134.494,1675.881,146.398,1134.494,1675.881,146.398,1120,1665,130,1144,1688,158,17400,0.184,3202,3202,2764,2764,1860.046,0.055,0.38,0.18,0.565,0.055,0.38,0.918,13.623,1.132,1.261,6549.331,0.489,3.149,16.879,9.971,2.908,MD495,11,0.0,40512.0
2470,2471,2470,obj2471-val2471,2471,0,1266.631,768.807,187.331,1266.631,768.807,187.331,1255,753,157,1279,783,207,39525,0.33,13051,13051,5814,5814,3916.516,0.098,0.461,0.321,0.684,0.098,0.461,0.967,21.202,1.426,1.321,14848.009,0.879,4.827,32.215,14.942,3.702,MD495,11,0.0,62999.0
28,29,28,obj29-val29,29,0,107.597,390.604,87.47,107.597,390.604,87.47,102,380,76,114,400,95,5460,0.203,1109,1109,1172,1172,791.113,0.086,0.442,0.281,0.655,0.086,0.442,0.912,9.501,1.157,1.574,1705.792,0.65,2.034,13.568,6.628,1.997,MD495,12,0.0,23595.0
162,163,162,obj163-val163,163,0,379.674,243.158,3.655,379.674,243.158,3.655,367,232,0,396,252,13,8820,0.293,2581,2581,1982,1982,1386.751,0.097,0.459,0.283,0.656,0.097,0.459,0.941,15.299,1.638,1.505,3715.321,0.695,3.673,16.916,9.435,3.004,MD495,12,0.0,32166.0
196,197,196,obj197-val197,197,0,347.554,325.005,96.729,347.554,325.005,96.729,336,312,89,356,335,105,8568,0.243,2078,2078,1922,1922,1280.975,0.069,0.41,0.232,0.615,0.069,0.41,0.918,13.709,1.384,1.699,3315.175,0.627,2.837,16.7,8.866,2.876,MD495,12,0.0,31521.0
197,198,197,obj198-val198,198,0,146.873,343.253,28.588,146.873,343.253,28.588,100,305,0,209,395,59,600600,0.079,47668,47668,27824,27824,19051.837,0.012,0.228,0.037,0.334,0.012,0.228,0.928,67.52,2.393,1.501,149963.022,0.318,0.652,73.46,33.703,14.123,MD495,12,0.0,253336.0
265,266,265,obj266-val266,266,0,157.662,442.798,103.564,157.662,442.798,103.564,145,435,94,172,447,112,6916,0.201,1389,1389,1430,1430,959.472,0.075,0.421,0.247,0.627,0.075,0.421,0.91,13.861,2.182,1.025,2284.055,0.608,0.688,15.585,7.901,2.848,MD495,12,0.0,26459.0
297,298,297,obj298-val298,298,0,192.51,304.485,127.36,192.51,304.485,127.36,171,283,96,215,327,172,155925,0.096,14944,14944,8698,8698,5831.664,0.038,0.337,0.127,0.503,0.038,0.337,0.941,29.082,1.799,1.16,27437.491,0.545,2.938,49.253,18.219,7.677,MD495,12,0.0,98152.0
317,318,317,obj318-val318,318,0,217.685,647.543,5.346,217.685,647.543,5.346,203,619,0,226,671,17,22896,0.253,5800,5800,3502,3502,2540.312,0.089,0.446,0.232,0.615,0.089,0.446,0.952,27.861,3.096,1.116,8469.779,0.685,2.761,29.069,14.063,5.684,MD495,12,0.0,49865.0
341,342,341,obj342-val342,342,0,114.074,768.446,8.12,114.074,768.446,8.12,74,740,0,170,801,30,186434,0.075,14047,14047,9722,9722,6800.061,0.024,0.29,0.071,0.414,0.024,0.29,0.923,60.508,4.366,1.317,36962.66,0.38,0.467,61.899,27.252,13.831,MD495,12,0.0,117890.0
359,360,359,obj360-val360,360,0,168.088,830.83,3.391,168.088,830.83,3.391,129,804,0,200,856,12,49608,0.129,6422,6422,4948,4948,3457.934,0.039,0.338,0.113,0.483,0.039,0.338,0.921,47.64,4.312,1.943,12535.829,0.512,1.62,46.251,21.044,11.31,MD495,12,0.0,71797.0
442,443,442,obj443-val443,443,0,1821.564,984.445,10.886,1821.564,984.445,10.886,1808,977,0,1832,993,28,12325,0.255,3144,3144,2090,2090,1410.038,0.122,0.497,0.399,0.736,0.122,0.497,0.954,15.573,1.414,1.919,4121.021,0.763,4.385,17.466,9.844,3.052,MD495,12,0.0,32460.0
457,458,457,obj458-val458,458,0,1801.689,1009.957,7.876,1801.689,1009.957,7.876,1792,1001,0,1811,1016,23,7680,0.216,1658,1658,1502,1502,1062.032,0.092,0.451,0.26,0.638,0.092,0.451,0.927,15.384,2.066,1.248,2862.702,0.579,1.985,18.068,8.477,3.108,MD495,12,0.0,27458.0
492,493,492,obj493-val493,493,0,1786.855,1048.205,3.08,1786.855,1048.205,3.08,1777,1035,0,1799,1057,10,5819,0.242,1410,1410,1316,1316,926.97,0.099,0.462,0.282,0.656,0.099,0.462,0.927,16.943,2.438,1.333,2571.147,0.548,0.882,17.552,8.598,3.494,MD495,12,0.0,26484.0
553,554,553,obj554-val554,554,0,209.917,267.403,122.449,209.917,267.403,122.449,203,256,109,219,278,134,10166,0.172,1749,1749,1926,1926,1328.559,0.048,0.364,0.148,0.528,0.048,0.364,0.89,12.596,1.062,2.076,3577.98,0.489,1.097,15.098,8.236,2.778,MD495,12,0.0,30758.0
585,586,585,obj586-val586,586,0,1535.553,1361.419,4.655,1535.553,1361.419,4.655,1521,1348,0,1559,1370,14,13455,0.226,3042,3042,2838,2838,1947.446,0.046,0.358,0.142,0.521,0.046,0.358,0.907,21.25,1.859,1.7,6841.243,0.445,0.703,25.078,11.037,4.499,MD495,12,0.0,40995.0
587,588,587,obj588-val588,588,0,338.828,287.635,131.06,338.828,287.635,131.06,325,277,113,352,300,143,20832,0.1,2074,2074,2514,2514,1710.406,0.031,0.313,0.097,0.46,0.031,0.313,0.866,17.739,1.733,1.248,6241.27,0.332,0.907,21.578,9.782,3.806,MD495,12,0.0,39534.0
602,603,602,obj603-val603,603,0,1802.819,1379.962,3.154,1802.819,1379.962,3.154,1792,1363,0,1812,1394,15,10752,0.195,2095,2095,1988,1988,1372.805,0.063,0.398,0.192,0.577,0.063,0.398,0.913,15.12,1.219,2.31,4217.787,0.497,1.178,18.552,9.448,3.584,MD495,12,0.0,34872.0
614,615,614,obj615-val615,615,0,1516.546,1381.964,3.899,1516.546,1381.964,3.899,1509,1373,0,1524,1390,11,3456,0.317,1096,1096,1072,1072,742.874,0.11,0.48,0.331,0.692,0.11,0.48,0.927,10.255,1.561,1.276,1452.944,0.754,2.089,10.78,6.32,1.735,MD495,12,0.0,20467.0
650,651,650,obj651-val651,651,0,368.036,126.57,132.499,368.036,126.57,132.499,344,112,122,389,143,142,30912,0.248,7658,7658,5404,5404,3603.887,0.042,0.348,0.142,0.521,0.042,0.348,0.93,20.526,1.407,1.688,10830.577,0.707,5.825,24.305,13.767,4.084,MD495,12,0.0,58321.0
651,652,651,obj652-val652,652,0,1580.027,1449.876,4.676,1580.027,1449.876,4.676,1568,1438,0,1604,1458,21,17094,0.192,3289,3289,2360,2360,1684.859,0.093,0.453,0.256,0.635,0.093,0.453,0.944,18.842,1.984,1.318,5401.535,0.609,3.937,24.956,10.833,4.282,MD495,12,0.0,38773.0
654,655,654,obj655-val655,655,0,1705.698,1472.763,4.611,1705.698,1472.763,4.611,1680,1452,0,1723,1492,20,37884,0.189,7179,7179,4708,4708,3337.481,0.056,0.382,0.157,0.539,0.056,0.382,0.939,26.798,1.408,2.678,15185.035,0.473,2.051,27.998,15.181,5.737,MD495,12,0.0,61530.0
657,658,657,obj658-val658,658,0,1537.163,1465.256,6.205,1537.163,1465.256,6.205,1527,1456,0,1552,1473,20,9828,0.183,1803,1803,1552,1552,1041.922,0.098,0.462,0.325,0.688,0.098,0.462,0.933,14.159,1.628,1.82,2465.279,0.731,3.042,16.397,8.445,2.91,MD495,12,0.0,27940.0
658,659,658,obj659-val659,659,0,1621.229,1474.497,3.024,1621.229,1474.497,3.024,1601,1456,0,1646,1495,11,22080,0.279,6169,6169,4466,4466,3107.306,0.048,0.364,0.143,0.523,0.048,0.364,0.93,22.259,1.24,3.371,8909.044,0.692,0.918,25.0,13.689,4.776,MD495,12,0.0,56319.0
676,677,676,obj677-val677,677,0,1562.724,1514.919,7.246,1562.724,1514.919,7.246,1555,1503,0,1567,1525,14,4485,0.269,1208,1208,1256,1256,871.502,0.083,0.437,0.249,0.629,0.083,0.437,0.912,11.698,1.474,1.289,2393.202,0.505,0.379,13.208,7.183,2.285,MD495,12,0.0,23862.0
680,681,680,obj681-val681,681,0,1618.575,1512.89,4.36,1618.575,1512.89,4.36,1607,1505,0,1627,1524,16,7140,0.25,1787,1787,1368,1368,950.142,0.141,0.521,0.421,0.75,0.141,0.521,0.951,11.627,1.311,1.526,2509.485,0.712,2.348,18.163,7.861,2.543,MD495,12,0.0,25724.0
683,684,683,obj684-val684,684,0,1708.804,1521.432,5.449,1708.804,1521.432,5.449,1692,1513,0,1719,1536,14,10080,0.206,2072,2072,1916,1916,1298.216,0.069,0.41,0.222,0.605,0.069,0.41,0.918,13.301,1.285,1.484,4022.812,0.515,2.347,18.714,8.798,3.147,MD495,12,0.0,31492.0
685,686,685,obj686-val686,686,0,1660.827,1533.808,3.614,1660.827,1533.808,3.614,1640,1519,0,1679,1554,12,18720,0.292,5470,5470,3538,3538,2489.736,0.076,0.424,0.219,0.603,0.076,0.424,0.946,26.905,2.006,2.261,8966.015,0.61,1.502,23.679,13.601,5.002,MD495,12,0.0,48707.0
690,691,690,obj691-val691,691,0,1621.094,1541.55,3.637,1621.094,1541.55,3.637,1600,1529,0,1636,1549,12,10101,0.159,1609,1609,1654,1654,1124.864,0.065,0.401,0.206,0.59,0.065,0.401,0.906,21.328,2.983,1.209,3778.983,0.426,0.666,21.884,10.186,4.459,MD495,12,0.0,31949.0
714,715,714,obj715-val715,715,0,1285.231,1714.518,6.316,1285.231,1714.518,6.316,1250,1697,0,1314,1728,20,43680,0.159,6942,6942,5274,5274,3695.46,0.037,0.334,0.108,0.476,0.037,0.334,0.922,30.687,2.516,1.291,14819.7,0.468,0.621,35.667,15.71,7.585,MD495,12,12.0,67621.0
755,756,755,obj756-val756,756,0,218.192,332.965,137.856,218.192,332.965,137.856,212,329,128,226,338,152,3750,0.319,1198,1198,992,992,699.941,0.166,0.55,0.473,0.779,0.166,0.55,0.952,11.874,1.641,1.789,1456.528,0.823,2.049,14.642,7.047,2.328,MD495,12,0.0,21936.0
834,835,834,obj835-val835,835,0,1249.057,1893.48,3.202,1249.057,1893.48,3.202,1232,1862,0,1271,1906,11,21600,0.235,5075,5075,3822,3822,2728.935,0.052,0.374,0.143,0.523,0.052,0.374,0.929,27.929,1.53,3.499,11146.21,0.455,1.178,35.946,15.528,6.859,MD495,12,1.0,58223.0
909,910,909,obj910-val910,910,0,1125.144,1674.394,152.77,1125.144,1674.394,152.77,1112,1665,138,1137,1680,180,17888,0.188,3369,3369,2520,2520,1766.25,0.08,0.431,0.233,0.615,0.08,0.431,0.938,22.412,2.007,1.551,7549.599,0.446,0.479,27.926,11.816,5.586,MD495,12,0.0,41900.0
968,969,968,obj969-val969,969,0,862.597,26.507,25.083,862.597,26.507,25.083,847,11,6,878,40,44,37440,0.245,9164,9164,5490,5490,3777.736,0.057,0.386,0.176,0.561,0.057,0.386,0.945,20.115,1.343,1.473,12826.283,0.714,0.642,20.5,12.901,3.828,MD495,12,0.0,58283.0
998,999,998,obj999-val999,999,0,67.186,735.832,16.134,67.186,735.832,16.134,59,728,6,76,744,26,6426,0.226,1453,1453,1540,1540,1026.622,0.065,0.403,0.221,0.604,0.065,0.403,0.903,11.188,1.153,1.853,2381.499,0.61,0.842,13.277,7.414,2.223,MD495,12,0.0,25731.0
1157,1158,1157,obj1158-val1158,1158,0,586.832,966.985,263.611,586.832,966.985,263.611,576,953,249,598,983,272,17112,0.125,2135,2135,2174,2174,1397.502,0.05,0.369,0.189,0.574,0.05,0.369,0.9,14.192,1.309,1.839,3796.196,0.562,0.424,16.199,8.664,2.992,MD495,12,0.0,32614.0
1307,1308,1307,obj1308-val1308,1308,0,62.747,758.278,20.553,62.747,758.278,20.553,44,745,11,81,771,32,22572,0.095,2152,2152,2190,2190,1428.768,0.05,0.368,0.18,0.564,0.05,0.368,0.9,23.52,2.819,1.586,4323.517,0.498,1.947,21.656,11.452,4.916,MD495,12,0.0,37123.0
1436,1437,1436,obj1437-val1437,1437,0,225.532,481.767,32.3,225.532,481.767,32.3,220,475,23,232,490,42,4160,0.341,1420,1420,1166,1166,786.263,0.144,0.524,0.469,0.777,0.144,0.524,0.947,10.128,1.257,1.575,1749.542,0.812,2.972,12.3,7.027,1.776,MD495,12,0.0,21615.0
1486,1487,1486,obj1487-val1487,1487,0,77.811,436.414,36.676,77.811,436.414,36.676,73,428,28,84,445,46,4104,0.268,1099,1099,1134,1134,749.92,0.094,0.454,0.324,0.687,0.094,0.454,0.917,9.794,1.265,1.721,1428.631,0.769,1.3,10.788,6.41,1.803,MD495,12,0.0,20863.0
1488,1489,1488,obj1489-val1489,1489,0,821.63,1049.511,55.775,821.63,1049.511,55.775,795,1032,28,842,1071,76,94080,0.143,13500,13500,9710,9710,6544.976,0.023,0.282,0.074,0.419,0.023,0.282,0.919,22.376,1.167,1.118,30834.002,0.438,3.715,32.895,16.43,4.923,MD495,12,2.0,101954.0
1513,1514,1513,obj1514-val1514,1514,0,89.822,442.647,40.592,89.822,442.647,40.592,81,433,31,95,451,54,6840,0.179,1225,1225,1304,1304,896.128,0.077,0.425,0.236,0.618,0.077,0.425,0.907,11.302,1.247,1.876,2072.245,0.591,0.983,14.264,7.163,2.379,MD495,12,0.0,24503.0
1624,1625,1624,obj1625-val1625,1625,0,350.259,1343.274,53.62,350.259,1343.274,53.62,344,1331,38,358,1357,81,17820,0.091,1627,1627,1714,1714,1136.939,0.059,0.39,0.204,0.588,0.059,0.39,0.901,24.281,3.577,1.453,3225.539,0.504,1.502,30.651,11.219,6.274,MD495,12,0.0,33796.0
1817,1818,1817,obj1818-val1818,1818,0,353.922,353.287,86.608,353.922,353.287,86.608,336,336,66,387,373,112,92872,0.155,14441,14441,8652,8652,5869.682,0.036,0.331,0.117,0.489,0.036,0.331,0.939,25.889,1.313,1.45,29097.562,0.496,5.331,35.047,17.511,5.912,MD495,12,0.0,91932.0
613,614,613,obj614-val614,614,0,1846.007,1443.96,227.695,1846.007,1443.96,227.695,1842,1439,216,1850,1449,239,2376,0.596,1415,1415,1072,1072,732.55,0.184,0.569,0.576,0.832,0.184,0.569,0.959,14.733,2.581,1.301,1545.425,0.916,2.627,12.532,7.807,2.762,MD570,0,0.0,21769.0
22,23,22,obj23-val23,23,0,861.133,1736.562,2.718,861.133,1736.562,2.718,853,1725,0,868,1744,8,2880,0.393,1131,1131,948,948,649.471,0.17,0.554,0.528,0.808,0.17,0.554,0.952,9.557,1.322,1.489,1404.592,0.805,2.756,12.067,6.557,1.709,MD570,1,267.0,19858.0
84,85,84,obj85-val85,85,0,696.266,1564.563,73.887,696.266,1564.563,73.887,692,1560,58,702,1569,89,3520,0.318,1118,1118,988,988,658.521,0.147,0.527,0.495,0.791,0.147,0.527,0.944,15.041,2.748,1.472,1282.4,0.872,2.579,17.071,7.702,3.264,MD570,1,13.0,21951.0
7,8,7,obj8-val8,8,0,1499.585,1221.658,2.59,1499.585,1221.658,2.59,1487,1207,0,1511,1231,8,5625,0.368,2070,2070,1424,1424,1027.905,0.168,0.552,0.446,0.764,0.168,0.552,0.961,15.81,1.748,2.093,2588.817,0.8,2.645,18.862,8.979,3.243,MD570,2,1535.0,27085.0
120,121,120,obj121-val121,121,0,981.29,1514.455,181.942,981.29,1514.455,181.942,976,1501,167,988,1524,205,12168,0.147,1788,1788,1694,1694,1105.445,0.074,0.421,0.268,0.644,0.074,0.421,0.918,25.904,4.357,1.269,3022.319,0.592,2.444,26.372,11.503,5.827,MD570,2,502.0,31300.0
178,179,178,obj179-val179,179,0,1603.982,764.057,235.361,1603.982,764.057,235.361,1600,757,219,1610,769,250,4576,0.237,1085,1085,1080,1080,703.601,0.106,0.473,0.382,0.726,0.106,0.473,0.924,16.223,3.145,1.21,1495.228,0.726,1.578,16.673,7.981,3.355,MD570,2,423.878431372549,22900.0
4,5,4,obj5-val5,5,0,1493.162,1217.362,5.495,1493.162,1217.362,5.495,1473,1196,0,1509,1234,23,34632,0.23,7960,7960,3786,3786,2693.707,0.132,0.509,0.367,0.716,0.132,0.509,0.969,26.101,2.214,1.317,11545.494,0.689,2.785,27.948,14.379,5.034,MD570,3,3448.0,54277.0
135,136,135,obj136-val136,136,0,1661.234,1564.558,169.38,1661.234,1564.558,169.38,1650,1558,155,1671,1571,182,8624,0.23,1982,1982,1496,1496,1017.471,0.133,0.51,0.422,0.75,0.133,0.51,0.95,16.234,2.359,1.365,2360.06,0.84,3.659,15.8,8.717,3.124,MD570,3,17.0,27175.0
136,137,136,obj137-val137,137,0,1590.517,744.167,171.297,1590.517,744.167,171.297,1586,739,157,1595,750,182,3120,0.406,1268,1268,998,998,657.585,0.183,0.568,0.639,0.862,0.183,0.568,0.957,13.375,2.474,1.211,1352.651,0.937,3.335,15.294,7.218,2.58,MD570,3,552.0,20510.0
185,186,185,obj186-val186,186,0,952.522,1073.162,200.532,952.522,1073.162,200.532,946,1065,191,961,1082,209,5472,0.303,1660,1660,1300,1300,832.527,0.142,0.522,0.54,0.814,0.142,0.522,0.95,11.025,1.578,1.169,1929.295,0.86,4.291,11.778,7.392,1.675,MD570,3,307.3764705882353,22557.0
12,13,12,obj13-val13,13,0,1484.603,1215.666,5.352,1484.603,1215.666,5.352,1464,1188,0,1507,1239,18,43472,0.318,13841,13841,5370,5370,3846.039,0.14,0.519,0.381,0.725,0.14,0.519,0.976,32.453,2.221,1.721,16863.433,0.821,5.094,31.579,17.515,6.113,MD570,4,1558.0,67365.0
22,23,22,obj23-val23,23,0,912.319,1071.82,31.182,912.319,1071.82,31.182,905,1067,17,921,1077,45,5423,0.286,1553,1553,1398,1398,942.074,0.1,0.464,0.326,0.688,0.1,0.464,0.93,18.397,3.168,1.199,2167.53,0.716,0.728,15.722,8.597,3.432,MD570,4,267.0,25350.0
35,36,35,obj36-val36,36,0,1393.878,235.588,58.845,1393.878,235.588,58.845,1378,212,43,1410,254,77,49665,0.093,4631,4631,3988,3988,2620.576,0.038,0.337,0.135,0.513,0.038,0.337,0.911,29.647,2.646,1.284,12145.903,0.381,0.62,25.599,14.103,5.313,MD570,4,2873.0,55556.0
113,114,113,obj114-val114,114,0,972.637,1080.497,138.143,972.637,1080.497,138.143,964,1065,124,983,1091,158,18900,0.12,2269,2269,2138,2138,1408.272,0.06,0.391,0.208,0.593,0.06,0.391,0.912,15.118,1.098,2.28,5262.401,0.431,1.639,25.449,10.039,4.4,MD570,4,68.0,38019.0
145,146,145,obj146-val146,146,0,1661.466,1562.219,180.727,1661.466,1562.219,180.727,1647,1550,154,1675,1575,204,38454,0.269,10336,10336,4524,4524,3037.526,0.13,0.507,0.431,0.755,0.13,0.507,0.972,24.751,2.144,1.184,11668.919,0.886,7.359,27.524,14.917,4.681,MD570,4,87.0,56341.0
154,155,154,obj155-val155,155,0,1586.412,743.077,172.366,1586.412,743.077,172.366,1580,736,161,1594,750,184,5400,0.414,2237,2237,1384,1384,900.986,0.213,0.598,0.774,0.918,0.213,0.598,0.971,12.695,1.792,1.143,2336.226,0.958,4.848,13.611,8.145,1.913,MD570,4,775.0,23886.0
156,157,156,obj157-val157,157,0,983.344,1520.889,177.415,983.344,1520.889,177.415,979,1510,161,990,1530,197,9324,0.12,1116,1116,1250,1250,789.74,0.072,0.416,0.286,0.659,0.072,0.416,0.9,23.451,5.036,1.387,1536.209,0.726,1.417,22.657,10.256,5.134,MD570,4,2.0,26073.0
225,226,225,obj226-val226,226,0,951.412,1072.507,199.009,951.412,1072.507,199.009,943,1062,188,960,1079,209,7128,0.213,1520,1520,1278,1278,824.895,0.125,0.5,0.466,0.775,0.125,0.5,0.942,12.87,1.914,1.117,2182.338,0.697,2.411,13.281,7.642,2.363,MD570,4,1177.3882352941177,23803.0
315,316,315,obj316-val316,316,0,913.722,1941.981,228.864,913.722,1941.981,228.864,905,1926,213,929,1952,239,18225,0.125,2275,2275,2216,2216,1484.735,0.054,0.377,0.179,0.563,0.054,0.377,0.907,19.385,1.984,1.339,5789.721,0.393,2.005,20.641,10.682,4.068,MD570,4,154.3686274509804,38801.0
10,11,10,obj11-val11,11,0,1491.505,1212.982,7.14,1491.505,1212.982,7.14,1467,1189,0,1523,1239,25,75582,0.269,20364,20364,8860,8860,6164.576,0.067,0.407,0.2,0.585,0.067,0.407,0.963,31.551,1.73,1.662,26432.813,0.77,7.157,34.435,19.235,5.785,MD570,5,833.0,88302.0
102,103,102,obj103-val103,103,0,1589.907,742.01,167.93,1589.907,742.01,167.93,1580,734,146,1601,751,184,15444,0.277,4284,4284,2350,2350,1539.392,0.16,0.543,0.569,0.829,0.16,0.543,0.968,21.242,2.693,1.168,4739.061,0.904,4.826,24.129,11.58,4.343,MD570,5,2321.0,35510.0
146,147,146,obj147-val147,147,0,949.93,1079.66,198.022,949.93,1079.66,198.022,942,1076,189,959,1085,206,3240,0.324,1049,1049,972,972,631.114,0.136,0.514,0.495,0.791,0.136,0.514,0.938,9.714,1.146,1.956,1494.456,0.702,0.348,11.455,6.409,2.005,MD570,5,3629.0,19716.0
5,6,5,obj6-val6,6,0,1497.825,1223.407,4.23,1497.825,1223.407,4.23,1468,1201,0,1521,1244,14,35640,0.23,8180,8180,5492,5492,3842.714,0.046,0.357,0.133,0.511,0.046,0.357,0.934,32.522,2.179,1.979,15339.497,0.533,0.66,34.764,16.613,6.688,MD570,6,3337.0,67762.0
38,39,38,obj39-val39,39,0,1040.369,1651.851,151.989,1040.369,1651.851,151.989,1033,1643,144,1050,1660,158,4860,0.253,1232,1232,1086,1086,687.486,0.134,0.512,0.528,0.808,0.134,0.512,0.941,10.446,1.437,1.465,1578.379,0.781,3.314,13.183,6.832,1.903,MD570,6,1913.0,20837.0
43,44,43,obj44-val44,44,0,1589.666,738.791,162.142,1589.666,738.791,162.142,1579,732,149,1601,747,179,11408,0.355,4045,4045,2162,2162,1423.446,0.183,0.568,0.642,0.862,0.183,0.568,0.972,16.483,1.879,1.22,4353.886,0.929,5.618,18.994,10.282,2.742,MD570,6,1513.0,32223.0
6,7,6,obj7-val7,7,0,1498.699,1214.807,11.5,1498.699,1214.807,11.5,1469,1194,0,1522,1235,28,65772,0.312,20547,20547,8534,8534,5860.77,0.077,0.425,0.237,0.619,0.077,0.425,0.966,28.802,1.585,1.46,27288.503,0.753,7.634,33.017,18.515,5.175,MD570,7,3055.0,87504.0
74,75,74,obj75-val75,75,0,1589.901,743.43,160.814,1589.901,743.43,160.814,1581,735,144,1599,753,176,11913,0.346,4126,4126,2248,2248,1492.071,0.169,0.553,0.58,0.834,0.169,0.553,0.97,17.801,1.938,1.41,4461.353,0.925,3.663,18.642,10.435,3.103,MD570,7,2590.0,33155.0
80,81,80,obj81-val81,81,0,1658.5,1562.771,163.853,1658.5,1562.771,163.853,1644,1551,150,1670,1574,176,17496,0.168,2948,2948,2862,2862,1919.617,0.042,0.347,0.139,0.518,0.042,0.347,0.901,15.213,1.42,1.256,5821.167,0.506,0.569,17.473,9.265,2.911,MD570,7,161.0,37348.0
4,5,4,obj5-val5,5,0,1503.907,1223.508,5.476,1503.907,1223.508,5.476,1485,1204,0,1522,1242,28,42978,0.205,8812,8812,4540,4540,3186.609,0.094,0.454,0.271,0.647,0.094,0.454,0.961,19.787,1.26,1.533,13339.385,0.661,5.499,24.722,13.917,3.791,MD570,8,1201.0,58230.0
23,24,23,obj24-val24,24,0,1406.721,298.796,77.506,1406.721,298.796,77.506,1393,287,59,1423,308,110,35464,0.095,3363,3363,2944,2944,1980.887,0.05,0.369,0.165,0.548,0.05,0.369,0.915,17.025,1.13,2.28,7094.923,0.474,2.598,32.78,11.173,5.209,MD570,8,0.0,46406.0
101,102,101,obj102-val102,102,0,1654.969,1549.387,154.437,1654.969,1549.387,154.437,1643,1536,131,1666,1562,169,25272,0.243,6130,6130,3154,3154,2058.009,0.135,0.514,0.488,0.787,0.135,0.514,0.967,15.472,1.265,1.279,7580.086,0.809,6.564,26.337,11.776,3.118,MD570,8,231.0,43638.0
110,111,110,obj111-val111,111,0,1589.79,732.402,149.998,1589.79,732.402,149.998,1581,725,138,1598,742,163,8424,0.387,3260,3260,1966,1966,1304.711,0.158,0.541,0.541,0.815,0.158,0.541,0.965,14.176,1.63,1.191,3768.574,0.865,2.6,14.032,9.121,2.149,MD570,8,1420.0,28973.0
2,3,2,obj3-val3,3,0,1500.399,1224.417,5.758,1500.399,1224.417,5.758,1492,1215,0,1508,1234,19,6800,0.282,1920,1920,1410,1410,975.751,0.149,0.53,0.449,0.766,0.149,0.53,0.954,11.407,1.329,1.364,2579.696,0.744,2.13,15.587,7.782,2.08,MD570,9,384.0,25715.0
70,71,70,obj71-val71,71,0,1616.374,718.902,135.69,1616.374,718.902,135.69,1608,712,116,1626,726,152,10545,0.186,1963,1963,1522,1522,980.472,0.124,0.498,0.462,0.773,0.124,0.498,0.946,21.928,4.308,1.117,2129.715,0.922,2.936,22.458,10.239,4.705,MD570,9,1816.0,28026.0
72,73,72,obj73-val73,73,0,1624.043,712.469,105.65,1624.043,712.469,105.65,1618,707,92,1631,718,121,5040,0.31,1562,1562,1214,1214,786.592,0.154,0.536,0.567,0.828,0.154,0.536,0.953,16.555,3.189,1.131,1652.942,0.945,3.284,15.947,8.399,3.25,MD570,10,2141.0,23249.0
4,5,4,obj5-val5,5,0,662.192,348.467,3.525,662.192,348.467,3.525,650,336,0,678,363,11,9744,0.241,2349,2349,1656,1656,1147.342,0.137,0.516,0.413,0.745,0.137,0.516,0.954,17.905,2.162,1.515,3396.712,0.692,1.74,18.793,9.614,3.58,MD570,11,229.0,29868.0
11,12,11,obj12-val12,12,0,331.449,241.31,5.967,331.449,241.31,5.967,322,235,0,337,255,19,6720,0.192,1289,1289,1280,1280,893.078,0.09,0.447,0.264,0.641,0.09,0.447,0.919,10.47,1.238,1.468,2138.241,0.603,2.746,15.612,7.222,2.469,MD570,12,0.0,24828.0
32,33,32,obj33-val33,33,0,621.453,344.545,25.562,621.453,344.545,25.562,569,305,0,705,382,61,662532,0.06,39431,39431,24694,24694,16889.937,0.012,0.227,0.036,0.332,0.012,0.227,0.923,81.51,3.76,1.451,110569.577,0.357,2.551,91.297,36.018,19.545,MD570,12,546.0,231939.0
73,74,73,obj74-val74,74,0,11.529,1367.615,5.17,11.529,1367.615,5.17,0,1355,0,27,1392,17,19152,0.3,5741,5741,3070,3070,2168.389,0.129,0.505,0.366,0.715,0.129,0.505,0.965,16.358,1.094,1.851,8272.985,0.694,4.992,27.464,12.284,4.079,MD570,12,0.0,44728.0
