, ,Nb,Name,Label,Type,CX (pix),CY (pix),CZ (pix),CX (unit),CY (unit),CZ (unit),Xmin (pix),Ymin (pix),Zmin (pix),Xmax (pix),Ymax (pix),Zmax (pix),VolBounding (pix),RatioVolbox,Vol (unit),Vol (pix),Surf (unit),Surf (pix),SurfCorr (pix),Comp (pix),Spher (pix),CompCorr (pix),SpherCorr (pix),Comp (unit),Spher (unit),CompDiscrete,Ell_MajRad,Ell_Elon,Ell_Flatness,volEllipsoid (unit),RatioVolEllipsoid,DCMin (unit),DCMax (unit),DCMean (unit),DCSD (unit),ID,FRAME,mg_volume,mask_volume
108,109,108,obj109-val109,109,0,1898.742,1014.129,4.147,1898.742,1014.129,4.147,1893,1007,0,1903,1029,14,3795,0.303,1149,1149,1010,1010,706.242,0.145,0.525,0.424,0.751,0.145,0.525,0.944,12.045,1.631,1.467,1876.548,0.612,0.921,16.015,7.163,2.527,MD495,2,3.0,22076.0
270,271,270,obj271-val271,271,0,1218.254,1486.473,35.551,1218.254,1486.473,35.551,1207,1480,19,1230,1493,48,10080,0.249,2509,2509,1698,1698,1115.742,0.145,0.526,0.513,0.8,0.145,0.526,0.958,12.454,1.338,1.431,3156.526,0.795,5.029,19.278,8.89,2.525,MD495,2,177.0,29539.0
360,361,360,obj361-val361,361,0,1035.998,168.243,62.331,1035.998,168.243,62.331,1027,158,47,1044,180,78,13248,0.35,4636,4636,2550,2550,1702.421,0.147,0.527,0.493,0.79,0.147,0.527,0.966,16.254,1.496,1.45,5541.353,0.837,1.226,17.162,10.555,2.799,MD495,2,0.0,35498.0
392,393,392,obj393-val393,393,0,1100.367,1597.138,73.969,1100.367,1597.138,73.969,1095,1586,53,1106,1609,90,10944,0.271,2970,2970,1940,1940,1314.788,0.137,0.515,0.439,0.76,0.137,0.515,0.958,21.77,2.793,1.616,3427.613,0.866,3.37,23.854,10.882,4.683,MD495,2,0.0,32635.0
457,458,457,obj458-val458,458,0,554.883,1064.044,84.314,554.883,1064.044,84.314,549,1056,68,562,1072,100,7854,0.42,3298,3298,1758,1758,1231.939,0.226,0.609,0.658,0.87,0.226,0.609,0.977,16.332,2.021,1.299,3441.102,0.958,4.723,17.23,9.642,2.777,MD495,2,273.0,29572.0
471,472,471,obj472-val472,472,0,1469.973,1296.007,91.174,1469.973,1296.007,91.174,1460,1282,76,1480,1306,109,17850,0.418,7453,7453,3260,3260,2177.981,0.181,0.566,0.608,0.847,0.181,0.566,0.977,17.911,1.402,1.558,7858.818,0.948,5.645,18.108,12.29,2.63,MD495,2,0.0,41774.0
503,504,503,obj504-val504,504,0,851.162,224.973,104.443,851.162,224.973,104.443,845,210,88,857,239,122,13650,0.146,1989,1989,1998,1998,1348.323,0.056,0.383,0.183,0.567,0.056,0.383,0.905,18.672,1.507,2.403,4996.325,0.398,1.082,21.058,9.907,4.261,MD495,2,181.0,34757.0
513,514,513,obj514-val514,514,0,760.992,1919.362,103.216,760.992,1919.362,103.216,756,1914,91,766,1925,116,3432,0.324,1113,1113,970,970,647.803,0.154,0.535,0.515,0.802,0.154,0.535,0.946,12.456,2.168,1.346,1279.543,0.87,2.826,13.232,6.935,2.331,MD495,2,33.0,20458.0
519,520,519,obj520-val520,520,0,749.906,1912.219,103.033,749.906,1912.219,103.033,745,1904,92,756,1919,114,4416,0.406,1794,1794,1236,1236,830.484,0.193,0.578,0.635,0.86,0.193,0.578,0.965,11.096,1.336,1.644,1952.159,0.919,3.808,12.282,7.531,1.733,MD495,2,0.0,22889.0
534,535,534,obj535-val535,535,0,1770.297,1307.738,110.535,1770.297,1307.738,110.535,1765,1301,99,1777,1315,127,5655,0.389,2199,2199,1460,1460,986.519,0.176,0.56,0.57,0.829,0.176,0.56,0.963,14.42,1.985,1.283,2483.99,0.885,4.117,17.099,8.561,2.637,MD495,2,121.0,25794.0
550,551,550,obj551-val551,551,0,643.394,1298.356,116.86,643.394,1298.356,116.86,636,1293,102,650,1305,133,6240,0.453,2824,2824,1632,1632,1128.402,0.208,0.592,0.628,0.856,0.208,0.592,0.972,16.993,2.508,1.092,2992.041,0.944,4.411,16.518,9.351,3.024,MD495,2,85.0,28014.0
604,605,604,obj605-val605,605,0,855.882,1865.142,131.857,855.882,1865.142,131.857,850,1858,112,862,1876,150,9633,0.33,3182,3182,1982,1982,1346.644,0.147,0.528,0.469,0.777,0.147,0.528,0.962,19.715,2.784,1.199,3452.828,0.922,4.294,20.448,10.51,3.815,MD495,2,16.0,32365.0
722,723,722,obj723-val723,723,0,1436.716,861.645,150.82,1436.716,861.645,150.82,1430,853,134,1445,870,168,10080,0.391,3943,3943,2238,2238,1518.691,0.157,0.539,0.502,0.795,0.157,0.539,0.967,19.157,1.939,1.868,4194.106,0.94,3.557,19.548,10.82,3.505,MD495,2,2.0,34103.0
775,776,775,obj776-val776,776,0,1160.947,1680.051,165.367,1160.947,1680.051,165.367,1147,1656,140,1173,1701,195,69552,0.15,10456,10456,5506,5506,3707.831,0.074,0.42,0.243,0.624,0.074,0.42,0.956,32.322,2.086,2.08,15633.102,0.669,3.193,33.905,17.31,6.656,MD495,2,3.0,66302.0
789,790,789,obj790-val790,790,0,454.555,1051.785,166.085,454.555,1051.785,166.085,446,1043,142,467,1064,184,20812,0.21,4377,4377,2842,2842,1920.381,0.094,0.455,0.306,0.674,0.094,0.455,0.95,20.31,1.919,1.512,6303.56,0.694,2.506,25.524,11.557,4.034,MD495,2,89.0,41287.0
831,832,831,obj832-val832,832,0,1274.006,749.829,180.327,1274.006,749.829,180.327,1268,737,152,1280,762,198,15886,0.25,3964,3964,2422,2422,1639.38,0.125,0.5,0.403,0.739,0.125,0.5,0.959,25.366,3.424,1.254,4650.033,0.852,3.624,30.857,12.497,5.8,MD495,2,114.0,38405.0
832,833,832,obj833-val833,833,0,449.047,859.378,173.928,449.047,859.378,173.928,440,852,152,457,868,201,15300,0.216,3305,3305,2304,2304,1570.749,0.101,0.466,0.319,0.683,0.101,0.466,0.947,27.747,4.556,1.042,4135.61,0.799,1.45,28.058,12.798,6.226,MD495,2,0.0,37800.0
833,834,833,obj834-val834,834,0,957.739,1079.926,169.665,957.739,1079.926,169.665,950,1068,152,965,1086,187,10944,0.283,3095,3095,1946,1946,1332.226,0.147,0.528,0.458,0.771,0.147,0.528,0.961,17.01,2.122,1.236,3704.236,0.836,3.949,19.666,9.857,3.3,MD495,2,0.0,32301.0
854,855,854,obj855-val855,855,0,785.879,160.57,170.708,785.879,160.57,170.708,779,153,157,795,167,187,7905,0.267,2113,2113,1684,1684,1131.478,0.106,0.473,0.349,0.704,0.106,0.473,0.94,14.188,1.471,1.904,2904.901,0.727,2.732,16.618,8.864,2.831,MD495,2,0.0,29076.0
933,934,933,obj934-val934,934,0,554.293,824.504,194.291,554.293,824.504,194.291,537,817,174,564,830,239,25872,0.14,3621,3621,2590,2590,1753.189,0.085,0.44,0.275,0.65,0.085,0.44,0.942,37.485,5.62,1.073,6511.076,0.556,3.239,47.939,17.332,11.697,MD495,2,194.96078431372547,46411.0
959,960,959,obj960-val960,960,0,1504.106,1465.975,199.495,1504.106,1465.975,199.495,1493,1452,177,1513,1484,231,38115,0.131,4976,4976,3628,3628,2462.406,0.059,0.389,0.188,0.572,0.059,0.389,0.933,27.28,2.788,1.298,8429.343,0.59,3.714,33.362,14.606,6.656,MD495,2,160.0,51826.0
968,969,968,obj969-val969,969,0,662.952,98.899,196.579,662.952,98.899,196.579,657,90,180,671,108,212,9405,0.354,3332,3332,1930,1930,1293.652,0.175,0.559,0.58,0.834,0.175,0.559,0.968,16.303,1.905,1.331,3757.001,0.887,4.024,17.498,9.721,2.835,MD495,2,0.0,30561.0
1003,1004,1003,obj1004-val1004,1004,0,755.205,95.18,217.481,755.205,95.18,217.481,746,89,189,765,101,239,13260,0.247,3280,3280,2292,2292,1594.535,0.101,0.466,0.3,0.67,0.101,0.466,0.947,30.379,4.936,1.106,4357.727,0.753,1.917,30.195,13.66,6.917,MD495,2,0.0,39626.0
1082,1083,1082,obj1083-val1083,1083,0,1314.349,133.843,225.753,1314.349,133.843,225.753,1308,128,212,1320,140,239,4732,0.498,2356,2356,1534,1534,1058.485,0.174,0.558,0.529,0.809,0.174,0.558,0.964,16.692,2.629,1.043,2702.774,0.872,2.367,15.082,9.009,3.077,MD495,2,0.0,26775.0
1104,1105,1104,obj1105-val1105,1105,0,559.12,1064.009,230.95,559.12,1064.009,230.95,554,1060,216,569,1069,245,4800,0.228,1092,1092,1044,1044,721.61,0.119,0.491,0.359,0.711,0.119,0.491,0.931,16.089,2.504,1.685,1651.547,0.661,1.642,15.634,8.117,3.416,MD495,2,18.48627450980392,23707.0
1219,1220,1219,obj1220-val1220,1220,0,1117.218,757.216,257.376,1117.218,757.216,257.376,1111,752,244,1125,762,269,4290,0.467,2004,2004,1328,1328,904.344,0.194,0.579,0.614,0.85,0.194,0.579,0.966,14.448,2.153,1.224,2227.28,0.9,3.809,13.812,8.236,2.506,MD495,2,0.0,24141.0
1223,1224,1223,obj1224-val1224,1224,0,1476.553,893.175,260.733,1476.553,893.175,260.733,1458,884,245,1497,904,271,22680,0.359,8140,8140,3770,3770,2550.605,0.14,0.519,0.452,0.767,0.14,0.519,0.971,20.523,1.8,1.208,9255.695,0.879,6.792,22.23,13.055,3.412,MD495,2,768.0,47472.0
1237,1238,1237,obj1238-val1238,1238,0,508.898,905.343,262.98,508.898,905.343,262.98,503,899,253,515,912,271,3458,0.44,1522,1522,1066,1066,696.349,0.216,0.6,0.776,0.919,0.216,0.6,0.967,9.06,1.345,1.054,1633.507,0.932,4.235,10.735,6.836,1.063,MD495,2,0.0,20209.0
1249,1250,1249,obj1250-val1250,1250,0,241.579,542.527,270.558,241.579,542.527,270.558,233,539,259,249,546,284,3536,0.353,1248,1248,1048,1048,691.452,0.153,0.535,0.533,0.811,0.153,0.535,0.948,14.174,2.356,1.552,1384.924,0.901,2.92,14.975,7.458,2.767,MD495,2,73.0,21548.0
54,55,54,obj55-val55,55,0,1211.903,1474.007,37.868,1211.903,1474.007,37.868,1202,1465,23,1223,1484,50,12320,0.195,2407,2407,2388,2388,1591.675,0.048,0.364,0.162,0.546,0.048,0.364,0.902,14.256,1.423,1.191,5031.416,0.478,0.164,17.308,8.977,2.885,MD495,3,185.0,33451.0
56,57,56,obj57-val57,57,0,1140.993,401.856,34.858,1140.993,401.856,34.858,1131,396,28,1150,408,41,3640,0.32,1165,1165,974,974,624.911,0.166,0.55,0.629,0.857,0.166,0.55,0.951,12.474,2.097,1.371,1347.99,0.864,2.149,10.976,6.808,2.179,MD495,3,4.0,19821.0
106,107,106,obj107-val107,107,0,1768.073,1303.906,119.122,1768.073,1303.906,119.122,1761,1293,105,1777,1311,131,8721,0.373,3255,3255,1874,1874,1249.662,0.182,0.567,0.614,0.85,0.182,0.567,0.969,13.832,1.638,1.142,3617.694,0.9,4.498,14.604,9.236,2.02,MD495,3,199.0,29683.0
119,120,119,obj120-val120,120,0,561.661,826.088,140.103,561.661,826.088,140.103,555,819,130,567,832,154,4550,0.238,1084,1084,1014,1014,664.383,0.127,0.503,0.453,0.768,0.127,0.503,0.935,12.405,2.042,1.263,1517.823,0.714,3.113,15.539,7.154,2.742,MD495,3,87.0,21814.0
121,122,121,obj122-val122,122,0,1156.804,1675.389,149.782,1156.804,1675.389,149.782,1145,1662,133,1168,1699,165,30096,0.302,9100,9100,4392,4392,2946.153,0.111,0.48,0.366,0.715,0.111,0.48,0.966,19.402,1.415,1.324,11540.619,0.789,5.472,25.483,13.628,3.716,MD495,3,29.0,52815.0
133,134,133,obj134-val134,134,0,448.122,1050.0,164.619,448.122,1050.0,164.619,436,1043,147,458,1058,183,13616,0.295,4022,4022,2538,2538,1735.785,0.112,0.482,0.35,0.705,0.112,0.482,0.955,16.399,1.556,1.53,4988.836,0.806,4.172,19.549,10.415,3.025,MD495,3,36.0,36673.0
135,136,135,obj136-val136,136,0,958.893,1081.79,158.014,958.893,1081.79,158.014,951,1073,148,966,1087,171,5760,0.188,1080,1080,1170,1170,755.104,0.082,0.435,0.306,0.674,0.082,0.435,0.908,15.885,2.678,1.16,2017.698,0.535,1.192,14.231,7.983,2.995,MD495,3,0.0,23576.0
